property_id,prediccion
107763179,reformado
107534822,no_reformado
107534822,no_reformado
107566031,no_reformado
107566031,no_reformado
106558853,no_reformado
106558853,no_reformado
107760572,reformado
107343305,no_reformado
107343305,no_reformado
106097463,no_reformado
107333912,reformado
107333912,reformado
107461521,no_reformado
107628060,no_reformado
107628060,no_reformado
107658677,no_reformado
107658677,no_reformado
106097623,no_reformado
106097623,no_reformado
107343404,no_reformado
107343404,no_reformado
105371614,no_reformado
105371614,no_reformado
105412326,reformado
106097687,no_reformado
106097687,no_reformado
107343463,no_reformado
107343463,no_reformado
102066051,no_reformado
102066051,no_reformado
106905506,no_reformado
106905506,no_reformado
106558936,no_reformado
106905414,no_reformado
106905414,no_reformado
107610656,no_reformado
107572457,no_reformado
107572457,no_reformado
107665539,reformado
107665539,reformado
107454699,no_reformado
107454699,no_reformado
107455733,no_reformado
107455733,no_reformado
107628006,no_reformado
107600364,no_reformado
107600364,no_reformado
104233978,reformado
104233978,reformado
107658258,reformado
107658258,reformado
107660891,reformado
107660891,reformado
107319746,no_reformado
107319746,no_reformado
107030175,no_reformado
107030175,no_reformado
107806655,reformado
107806655,reformado
107627690,reformado
107627690,reformado
107355304,no_reformado
107355304,no_reformado
106783593,reformado
106783593,reformado
107580340,no_reformado
107662658,no_reformado
107662658,no_reformado
107225903,reformado
107269701,reformado
107730663,reformado
107730663,reformado
107173251,no_reformado
107173251,no_reformado
107556832,reformado
107348037,no_reformado
107348037,no_reformado
107605910,no_reformado
107605910,no_reformado
107335133,no_reformado
107335133,no_reformado
107661512,no_reformado
107661512,no_reformado
107011017,no_reformado
107011017,no_reformado
107001516,reformado
107001516,reformado
107347918,no_reformado
107347918,no_reformado
107570051,no_reformado
107508584,no_reformado
107508584,no_reformado
107664918,no_reformado
107664918,no_reformado
107703453,no_reformado
107703453,no_reformado
107659126,no_reformado
107659126,no_reformado
106306847,no_reformado
107747004,no_reformado
107747004,no_reformado
107800014,no_reformado
107800014,no_reformado
107701379,reformado
104540236,no_reformado
104540236,no_reformado
106324856,no_reformado
106324856,no_reformado
106300986,no_reformado
106300986,no_reformado
107812503,reformado
107638964,reformado
107638964,reformado
106960607,no_reformado
106960607,no_reformado
102742908,no_reformado
102742908,no_reformado
107554115,no_reformado
107816325,no_reformado
107816325,no_reformado
107274180,reformado
107274180,reformado
107744106,no_reformado
107744106,no_reformado
107681309,no_reformado
107681309,no_reformado
107735511,no_reformado
107735511,no_reformado
107627596,no_reformado
107045334,no_reformado
107045334,no_reformado
107455629,no_reformado
107455629,no_reformado
107729665,reformado
107729665,reformado
107725166,no_reformado
107725166,no_reformado
106688429,no_reformado
106688429,no_reformado
107662615,no_reformado
107662615,no_reformado
107285037,reformado
107285037,reformado
107751059,reformado
107751059,reformado
107774539,no_reformado
107774539,no_reformado
107692757,reformado
107692757,reformado
107653149,no_reformado
107653149,no_reformado
106577172,reformado
106577172,reformado
107414204,no_reformado
107414204,no_reformado
107548297,no_reformado
107200242,no_reformado
107420893,reformado
107580659,no_reformado
107580659,no_reformado
107732612,reformado
107541592,no_reformado
107541592,no_reformado
107602120,reformado
106989430,no_reformado
106989430,no_reformado
107812100,no_reformado
107812100,no_reformado
107528960,no_reformado
107528960,no_reformado
107832900,reformado
107428160,no_reformado
107428160,no_reformado
107852250,reformado
97302840,reformado
107179294,no_reformado
107179294,no_reformado
107680441,no_reformado
107864090,reformado
107864090,reformado
107773173,no_reformado
107773173,no_reformado
107860049,no_reformado
107860049,no_reformado
107717096,reformado
107717096,reformado
107842489,no_reformado
107842489,no_reformado
107830010,no_reformado
107830010,no_reformado
107233824,reformado
107233824,reformado
107838332,no_reformado
107838332,no_reformado
107180459,reformado
107861352,reformado
107861352,reformado
106855888,reformado
107705459,no_reformado
107705459,no_reformado
107629396,reformado
107629396,reformado
107851564,no_reformado
27756715,no_reformado
107024098,reformado
107867496,no_reformado
107604868,no_reformado
107873783,no_reformado
107873783,no_reformado
106702776,reformado
107632707,reformado
107632707,reformado
107335778,reformado
107335778,reformado
107562567,reformado
107562567,reformado
107723571,no_reformado
107814770,no_reformado
107814770,no_reformado
107121968,reformado
107121968,reformado
107256419,reformado
107085178,reformado
107085178,reformado
107338586,reformado
107777817,no_reformado
107777817,no_reformado
107784960,reformado
107784960,reformado
106500540,reformado
106500540,reformado
97943806,no_reformado
97943806,no_reformado
107230911,no_reformado
107230911,no_reformado
107161958,no_reformado
107161958,no_reformado
102065571,reformado
107766729,reformado
107297535,reformado
107297535,reformado
106675022,reformado
106675022,reformado
106674614,reformado
107863146,no_reformado
107863146,no_reformado
107078869,no_reformado
107245311,reformado
107245311,reformado
107437500,reformado
107437500,reformado
107731468,no_reformado
107814424,no_reformado
107814424,no_reformado
107653006,reformado
107653006,reformado
107264360,no_reformado
107264360,no_reformado
107695616,no_reformado
107695616,no_reformado
107526902,no_reformado
107526902,no_reformado
107205206,reformado
101982110,no_reformado
101982110,no_reformado
92095881,no_reformado
107620423,no_reformado
107620423,no_reformado
106864020,no_reformado
106864020,no_reformado
107537278,no_reformado
107556825,no_reformado
107556825,no_reformado
107305639,no_reformado
107305639,no_reformado
106895526,reformado
106895526,reformado
106895270,reformado
107760448,reformado
107473871,no_reformado
107473871,no_reformado
106194393,no_reformado
107358050,no_reformado
107358050,no_reformado
107729954,no_reformado
107621980,no_reformado
107621980,no_reformado
107285055,reformado
107285055,reformado
106680060,no_reformado
106680060,no_reformado
107264853,no_reformado
107264853,no_reformado
107396027,no_reformado
107446809,no_reformado
106905304,no_reformado
106905304,no_reformado
107848042,reformado
107848042,reformado
107862506,reformado
107862506,reformado
107849239,reformado
107849239,reformado
107863189,no_reformado
107863189,no_reformado
107861282,no_reformado
107861282,no_reformado
107863663,reformado
107863663,reformado
107863581,reformado
107863581,reformado
107170764,reformado
107673750,no_reformado
107673679,no_reformado
107677865,no_reformado
107677865,no_reformado
107662013,no_reformado
107662013,no_reformado
107572700,reformado
107572700,reformado
107621453,reformado
107621453,reformado
107398895,no_reformado
107398895,no_reformado
107552908,reformado
107552908,reformado
107662266,reformado
107662266,reformado
107756799,no_reformado
107565477,no_reformado
