iter	Passed	Remaining
385	1102	1752
386	1102	1746
387	1103	1740
388	1104	1734
389	1104	1728
390	1105	1722
391	1106	1715
392	1107	1709
393	1107	1703
394	1108	1697
395	1109	1691
396	1109	1685
397	1110	1679
398	1111	1673
399	1111	1667
400	1112	1662
401	1113	1656
402	1114	1650
403	1114	1644
404	1115	1638
405	1116	1633
406	1116	1627
407	1117	1621
408	1118	1616
409	1119	1610
410	1119	1604
411	1120	1599
412	1121	1593
413	1121	1588
414	1122	1582
415	1123	1577
416	1124	1571
417	1124	1566
418	1125	1560
419	1126	1555
420	1126	1549
421	1127	1544
4422	1100	15004423	1102	1497
424	1104	1494
425	1108	1493
426	1108	1487
427	1113	1488
428	1114	1483
429	1114	1478
430	1123	1483
431	1124	1478
432	1124	1473
433	1134	1480
434	1138	1479
435	1146	1483
436	1150	1482
437	1154	1481
438	1155	1476
439	1156	1471
440	1165	1477
441	1166	1472
442	1167	1467
443	1168	1462
444	1168	1457
445	1169	1452446	1218	1507
447	1219	1502
448	1219	1497
449	1220	1491
450	1220	1486
451	1221	1480
452	1221	1475
4453	1211	1456
454	1211	1451
455	1212	1446
456	1217	1446
457	1219	1443
458	1221	1439
459	1223	1435
460	1225	1432
461	1229	1432
462	1230	1427
463	1231	1422
464	1234	1420
465	1236	1417
466	1237	1412
467	1238	1407
468	1238	1402
469	1239	1397470	1283	1441
4471	1252	1401
472	1253	1396
473	1253	1391474	1301	1438
475	1304	1436
476	1305	1431
477	1305	1425
478	1320	1436
479	1321	1431
480	1322	1426
481	1345	1446
482	1346	1441
483	1355	1445
484	1356	1440
485	1356	1435
486	1357	1430
487	1358	1425
488	1358	1420
489	1359	1415
490	1360	1410
491	1360	1405
492	1361	1400
493	1362	1395
494	1362	1390
495	1363	1385
496	1364	1380
497	1364	1375
498	1365	1371
499	1366	1366
500	1366	1361
501	1367	1356
502	1368	1351
503	1368	1347
504	1369	1342
505	1370	1337
506	1370	1333
507	1371	1328
508	1372	1323
509	1372	1318
510	1373	1314
511	1374	1309
512	1374	1305
513	1375	1300
514	1376	1296
5515	1341	12585516	1348	1259
517	1354	1260
518	1354	1255
519	1355	1250
520	1355	1246
521	1356	1241
522	1356	1237
523	1357	1232
524	1357	1228
525	1358	1223
526	1358	1219
527	1359	1215
528	1360	1211
529	1360	1206
530	1363	12045531	1365	1200532	1411	1236
533	1412	1232
534	1413	1228
535	1413	1223
5536	1382	1192
537	1386	1190
538	1387	1186
539	1387	1182
540	1401	1189
541	1402	1185
542	1403	1181
543	1403	1176
544	1404	1172
545	1405	1168
546	1406	1164
547	1406	1160
548	1407	1156
549	1410	1154
550	1412	1151
551	1413	1147
552	1414	1143
553	1415	1139
554	1422	1140
555	1424	1137
556	1425	1133
557	1425	1129
558	1428	1126
559	1429	1123
560	1430	1119
561	1431	1115
562	1431	1111
563	1432	1107
564	1433	1103
565	1434	1100
566	1435	1096
567	1436	1092
568	1436	1088
569	1437	1084
570	1437	1080
571	1438	1076
572	1438	1072
573	1439	1068
574	1439	1064
575	1440	1060
576	1440	1056
577	1441	1052
578	1441	1048
579	1442	1044
580	1442	1040
581	1443	1036
582	1443	1032
583	1444	1028
584	1445	1025
585	1445	1021
586	1446	1017
587	1446	1013
588	1447	1009
589	1447	1005
590	1448	1002
591	1448	998
592	1449	994
593	1449	990
594	1450	987
595	1450	983
596	1451	979
597	1452	976
598	1452	972
599	1453	968
600	1453	965
601	1454	961
602	1454	957
603	1454	953
604	1455	950
605	1455	946
606	1456	942
607	1456	939
608	1457	935
609	1458	932
610	1458	928
611	1459	925
612	1459	921
613	1460	918
614	1460	914
615	1461	911
616	1462	907
617	1462	904
618	1463	900
619	1463	897
620	1464	893
621	1464	890
622	1465	886
623	1466	883
624	1466	880
625	1467	876
626	1467	873
627	1468	869
628	1469	866
629	1470	863
630	1470	859
631	1471	856
632	1471	853
633	1472	849
634	1472	846
635	1473	843
636	1473	839
637	1474	836
638	1474	833
63639	1513	851
640	1515	848
641	1516	845
642	1517	842
643	1517	838
644	1518	835
645	1519	832
646	1521	830
647	1522	826
648	1524	824
649	1526	822
650	1528	819
651	1529	816
652	1531	813
653	1532	810
654	1533	807
655	1534	804
656	1535	801
657	1535	798
658	1537	795
659	1538	792
660	1538	789
661	1539	785
662	1539	782
663	1540	779
664	1541	776
665	1541	773
666	1542	770
667	1543	767
668	1543	763
669	1544	760
670	1544	757
671	1545	754
672	1545	751
673	1546	747
674	1547	744
675	1547	741
676	1548	738
677	1548	735
678	1549	732
679	1549	729
680	1549	726
681	1551	723
682	1552	720
683	1553	717
684	1553	714
685	1554	711
686	1554	708
687	1555	705
688	1556	702
689	1556	699
690	1557	696
691	1557	693
692	1558	690
693	1558	687
694	1558	684
695	1559	681
696	1560	678
697	1560	675
698	1560	672
699	1561	669
700	1561	666
701	1562	663
702	1562	660
703	1563	657
704	1564	654
705	1564	651
706	1564	648
707	1565	645
708	1566	642
709	1566	639
710	1568	637
711	1568	634
712	1569	631
713	1569	628
714	1570	625
715	1570	622
716	1571	620
717	1571	617
718	1571	614
719	1572	611
720	1572	608
721	1573	605
722	1573	602
723	1574	600
724	1574	597
725	1575	594
726	1575	591
727	1576	588
728	1576	586
729	1577	583
730	1577	580
731	1578	578
732	1579	575
733	1579	572
734	1580	569
735	1581	567
736	1581	564
737	1582	561
738	1582	558
739	1582	556
740	1583	553
741	1584	550
742	1585	548
743	1586	545
744	1586	543
745	1587	540
746	1587	537
747	1588	535
748	1588	532
749	1589	529
750	1589	527
751	1590	524
752	1590	521
753	1591	519
754	1591	516
755	1592	513
756	1592	511
757	1593	508
758	1593	505
759	1593	503
760	1594	500
761	1594	498
762	1595	495
763	1595	492
764	1596	490
765	1596	487
766	1596	485
767	1597	482
768	1598	480
769	1598	477
770	1598	474
771	1599	472
772	1599	469
773	1600	467
774	1600	464
775	1601	462
776	1601	459
777	1602	457
778	1602	454
779	1603	452
780	1603	449
781	1604	447
782	1604	444
783	1604	442
784	1605	439
785	1605	437
786	1606	434
787	1606	432
788	1607	429
789	1607	427
790	1608	424
791	1608	422
792	1609	420
793	1609	417
794	1610	415
795	1610	412
796	1611	410
797	1611	407
798	1612	405
799	1612	403
800	1613	400
801	1613	398
802	1614	396
803	1615	393
804	1615	391
805	1616	38806	1580	378
807	1582	375
808	1583	373
809	1584	371
810	1585	369
811	1587	367
812	1588	365
813	1590	363
814	1591	361
815	1592	358
816	1592	356
817	1593	354
818	1595	352
819	1595	350
820	1596	348
821	1596	345
822	1597	343
823	1597	341
824	1597	338
825	1598	336
826	1598	334
827	1599	332
828	1599	329
829	1600	327
830	1600	325
831	1601	323
832	1601	321
833	1601	318
834	1602	316
835	1602	314
836	1603	312
837	1603	310
838	1604	307
839	1604	305
840	1605	303
841	1605	301
84842	1642	3084843	1642	3084844	1643	301
845	1644	299
846	1646	297
847	1647	295
848	1648	293
849	1649	291
850	1650	288
851	1651	286
852	1652	284
853	1653	282
854	1653	280
855	1654	278
856	1654	276
857	1654	273
858	1655	271
859	1655	269
860	1656	267
861	1656	265
862	1657	263
863	1657	260
864	1658	258
865	1658	256
866	1659	254
867	1659	252
868	1660	250
869	1660	248
870	1661	246
871	1663	244
872	1664	242
873	1665	240
874	1666	238
875	1666	235
876	1667	233
877	1667	231
878	1668	229
879	1668	227
880	1669	225
881	1669	223
882	1670	221
883	1670	219
884	1670	217
885	1671	215
886	1672	213
887	1672	210
888	1673	208
889	1673	206
890	1673	204
891	1674	202
892	1674	200
893	1675	198
894	1675	196
895	1676	194
896	1676	192
897	1677	190
898	1679	188
899	1680	186
900	1681	184
901	1681	182
902	1682	180
903	1682	178
904	1683	176
905	1683	174
906	1684	172
907	1685	170
908	1685	168
909	1686	166
910	1686	164
911	1687	162
912	1687	160
913	1688	158
914	1688	156
915	1689	154
916	1689	152
917	1690	150
918	1690	149
919	1691	147
920	1691	145
921	1692	143
922	1692	141
923	1693	139
924	1694	137
925	1695	135
926	1695	133
927	1696	131
928	1697	129
929	1697	127
930	1698	125
931	1698	123
932	1699	122
933	1700	120
934	1700	118
935	1701	116
936	1701	114
937	1702	112
938	1702	110
939	1703	108
940	1703	106
941	1704	104
942	1705	103
943	1705	101
944	1706	99
945	1706	97
946	1707	95
947	1707	93
948	1707	91
949	1708	89
950	1709	88
951	1709	86
952	1710	84
953	1711	82
954	1711	80
955	1712	78
956	1712	76
957	1713	75
958	1713	73
959	1714	71
960	1714	69
961	1714	67
962	1715	65
963	1715	64
964	1716	62
965	1716	60
966	1716	58
967	1717	56
968	1717	54
969	1717	53
970	1718	51
971	1718	49
972	1719	47
973	1719	45
974	1720	44
975	1720	42
976	1720	40
977	1721	38
978	1721	36
979	1722	35
980	1722	33
981	1722	31
982	1723	29
983	1723	28
984	1724	26
985	1724	24
986	1724	22
987	1725	20
988	1725	19
989	1726	17
990	1726	15
991	1726	13
992	1727	12
993	1727	10
994	1728	8
995	1728	6
996	1728	5
997	1729	3
998	1729	1
999	1730	0
